date,n,ic,rankic,icir,rankicir
2024-11-01,312,0.12270933,0.22894552,,
2024-11-04,312,0.34635640,0.31920295,,
2024-11-05,312,0.25384468,0.34855529,,
2024-11-06,312,0.11496534,0.17861981,,
2024-11-07,312,-0.01112295,0.06147246,,
2024-11-08,312,0.07876559,0.00071424,,
2024-11-11,313,-0.27944958,-0.31141595,,
2024-11-12,313,-0.13006541,-0.22827066,,
2024-11-13,313,-0.23660534,-0.22431483,,
2024-11-14,313,-0.11994415,-0.10990468,,
2024-11-15,313,-0.08672030,-0.15089326,,
2024-11-18,313,0.17252472,0.21201503,,
2024-11-19,313,-0.07982077,-0.07846532,,
2024-11-20,313,-0.00858356,-0.08700953,,
2024-11-21,313,-0.01031112,-0.07349554,,
2024-11-22,313,0.16411275,0.15623134,,
2024-11-25,313,0.07968291,0.09739167,,
2024-11-26,313,-0.01282805,0.04285945,,
2024-11-27,313,-0.09309080,-0.16360891,,
2024-11-28,313,-0.14802000,-0.15028420,,
2024-11-29,313,-0.15016195,-0.18187934,,
2024-12-02,313,-0.22916703,-0.24630845,,
2024-12-03,313,-0.21363187,-0.16960718,,
2024-12-04,313,0.06646466,0.09519226,,
2024-12-05,313,0.04631087,0.06381298,,
2024-12-06,313,0.02091675,0.00337089,,
2024-12-09,313,-0.07294940,-0.10809696,,
2024-12-10,313,-0.11782458,-0.16121957,,
2024-12-11,313,-0.00806727,-0.23844793,,
2024-12-12,313,-0.18332560,-0.26106557,,
2024-12-13,313,0.07913020,-0.23252936,,
2024-12-16,312,-0.22853075,-0.29875404,,
2024-12-17,312,-0.18547679,-0.27038145,,
2024-12-18,312,-0.19392862,-0.30849624,,
2024-12-19,312,-0.16116252,-0.23440353,,
2024-12-20,312,-0.26080256,-0.30914384,,
2024-12-23,312,-0.17755857,-0.19365506,,
2024-12-24,312,-0.27577656,-0.28214084,,
SUMMARY,149168,0.01449069,-0.01466861,0.08348847,-0.07620362
