candidate,candidate_label,market,topk,variant,cost_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,10.00,347,1.63484948,2.08562132,-0.45077184,7.03372564,7.28198842,-0.24826277,-0.07390821,-0.08796015,0.01405194,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,20.00,347,1.51519729,1.97668635,-0.46148906,6.69074892,7.05010492,-0.35935601,-0.07650964,-0.08979841,0.01328878,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,50.00,347,1.18770512,1.67230535,-0.48460023,5.66061674,6.35211814,-0.69150140,-0.09160113,-0.09576758,0.00416646,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,0.00,347,2.85442114,3.41498302,-0.56056188,6.93052908,6.81926340,0.11126568,-0.09783876,-0.11190841,0.01406965,False,True,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,5.00,347,2.73187246,3.32444915,-0.59257669,6.76339563,6.72588886,0.03750677,-0.10378441,-0.11289871,0.00911431,False,True,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,10.00,347,2.61319758,3.23575911,-0.62256153,6.59606505,6.63232424,-0.03625919,-0.10969224,-0.11571274,0.00602050,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,20.00,347,2.38698607,3.06376207,-0.67677600,6.26092350,6.44465436,-0.18373086,-0.12166594,-0.12206282,0.00039688,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,50.00,347,1.78941636,2.58829483,-0.79887847,5.25364605,5.87785868,-0.62421264,-0.16042911,-0.14085151,-0.01957760,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,0.00,347,2.84341933,3.14164084,-0.29822150,6.80434338,6.94255106,-0.13820767,-0.09299845,-0.13049923,0.03750079,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,5.00,347,2.75198531,3.06284067,-0.31085537,6.68085723,6.85008030,-0.16922306,-0.09635574,-0.13172391,0.03536817,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,10.00,347,2.66271134,2.98552941,-0.32281807,6.55720039,6.75742438,-0.20022400,-0.09970106,-0.13294699,0.03324593,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,20.00,347,2.49044207,2.83526240,-0.34482032,6.30944445,6.57158652,-0.26214207,-0.10635598,-0.13538842,0.02903244,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,50.00,347,2.02044211,2.41739455,-0.39695244,5.56389330,6.01040078,-0.44650748,-0.12685132,-0.14267487,0.01582355,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,0.00,361,0.60121073,0.61282853,-0.01161780,5.32542751,5.28121616,0.04421135,-0.13298316,-0.10173684,-0.03124632,False,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,5.00,361,0.56366630,0.57222883,-0.00856253,5.05860472,5.00590787,0.05269685,-0.13546237,-0.10880502,-0.02665735,False,True,False
