market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,avg_max_industry_weight,avg_size_exposure,yearly_ann_returns,daily_source
hk_large_cap,lingxi,raw,5,30,10.00,735,0.22593851,0.10430047,2.16622709,-0.18578690,0.81148053,0.07970270,5.28411236,0.03274376,0.57006803,0.28040816,0.00789154,2023:-0.0487;2024:0.3248;2025:0.4574,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top30_raw_daily.csv
hk_large_cap,lingxi,industry_size_neutral,5,30,10.00,735,0.17534518,0.10023425,1.74935394,-0.20745431,0.60195080,0.03471462,2.45872822,0.04353741,0.56462585,0.24834467,-0.07441111,2023:-0.0795;2024:0.2691;2025:0.3858,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top30_industry_size_neutral_daily.csv
hk_large_cap,lingxi,raw,5,20,10.00,735,0.32852973,0.11403974,2.88083558,-0.15327674,1.28998634,0.17082271,5.17638142,0.06632653,0.58911565,0.32204082,0.12091036,2023:0.0132;2024:0.4453;2025:0.5959,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top20_raw_daily.csv
hk_large_cap,lingxi,industry_size_neutral,5,20,10.00,735,0.22122422,0.10333095,2.14092890,-0.19042971,0.79123790,0.07530489,3.39209027,0.08775510,0.56190476,0.27054422,-0.02331067,2023:-0.0545;2024:0.2866;2025:0.4926,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top20_industry_size_neutral_daily.csv
hk_large_cap,lingxi,raw,5,10,10.00,735,0.42652322,0.13225830,3.22492588,-0.14939569,1.81825293,0.25848425,4.37119306,0.11034014,0.58503401,0.37782313,0.35105002,2023:0.0931;2024:0.6311;2025:0.6228,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top10_raw_daily.csv
hk_large_cap,lingxi,industry_size_neutral,5,10,10.00,735,0.25839114,0.12310535,2.09894325,-0.21605746,0.95491998,0.10974164,2.54248455,0.12979592,0.56598639,0.34734694,0.21519057,2023:-0.0651;2024:0.3192;2025:0.6099,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top10_industry_size_neutral_daily.csv
hk_large_cap,lingxi,raw,5,5,10.00,735,0.55704984,0.15369572,3.62436796,-0.18086147,2.63816449,0.37534328,4.43464155,0.14598639,0.58639456,0.45387755,0.50638089,2023:0.1757;2024:0.8145;2025:0.7634,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top5_raw_daily.csv
hk_large_cap,lingxi,industry_size_neutral,5,5,10.00,735,0.27083795,0.14834096,1.82577991,-0.22292598,1.01185347,0.12239725,1.63994854,0.17102041,0.55510204,0.43156463,0.34471928,2023:-0.0461;2024:0.4085;2025:0.5223,experiments\lingxi_topk_comparison\hk_large_cap\lingxi_h5_top5_industry_size_neutral_daily.csv
hk_large_cap,qlib_alpha158,raw,5,30,10.00,735,0.11892287,0.09661778,1.23085903,-0.24211644,0.38782201,-0.01533971,-1.03987916,0.00068027,0.56054422,0.20000000,-0.20991666,2023:-0.1284;2024:0.1544;2025:0.3880,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top30_raw_daily.csv
hk_large_cap,qlib_alpha158,industry_size_neutral,5,30,10.00,735,0.11892287,0.09661778,1.23085903,-0.24211644,0.38782201,-0.01533971,-1.03987916,0.00068027,0.56054422,0.20000000,-0.20991666,2023:-0.1284;2024:0.1544;2025:0.3880,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top30_industry_size_neutral_daily.csv
hk_large_cap,qlib_alpha158,raw,5,20,10.00,735,0.16031164,0.08075523,1.98515483,-0.13878985,0.54291759,0.01915449,0.54516627,0.00068027,0.55782313,0.15000000,-0.38067202,2023:-0.0114;2024:0.1780;2025:0.3388,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top20_raw_daily.csv
hk_large_cap,qlib_alpha158,industry_size_neutral,5,20,10.00,735,0.16031164,0.08075523,1.98515483,-0.13878985,0.54291759,0.01915449,0.54516627,0.00068027,0.55782313,0.15000000,-0.38067202,2023:-0.0114;2024:0.1780;2025:0.3388,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top20_industry_size_neutral_daily.csv
hk_large_cap,qlib_alpha158,raw,5,10,10.00,735,0.10946430,0.08118209,1.34837991,-0.17597105,0.35388119,-0.02576101,-0.61035738,0.00068027,0.54285714,0.30000000,-0.81061468,2023:-0.0650;2024:0.1615;2025:0.2549,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top10_raw_daily.csv
hk_large_cap,qlib_alpha158,industry_size_neutral,5,10,10.00,735,0.10946430,0.08118209,1.34837991,-0.17597105,0.35388119,-0.02576101,-0.61035738,0.00068027,0.54285714,0.30000000,-0.81061468,2023:-0.0650;2024:0.1615;2025:0.2549,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top10_industry_size_neutral_daily.csv
hk_large_cap,qlib_alpha158,raw,5,5,10.00,735,0.15695399,0.06791909,2.31089652,-0.12411686,0.52993129,0.01346005,0.19584440,0.00068027,0.57687075,0.60000000,-0.96324141,2023:0.0499;2024:0.1216;2025:0.3136,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top5_raw_daily.csv
hk_large_cap,qlib_alpha158,industry_size_neutral,5,5,10.00,735,0.15695399,0.06791909,2.31089652,-0.12411686,0.52993129,0.01346005,0.19584440,0.00068027,0.57687075,0.60000000,-0.96324141,2023:0.0499;2024:0.1216;2025:0.3136,experiments\lingxi_topk_comparison\hk_large_cap\qlib_alpha158_h5_top5_industry_size_neutral_daily.csv
hk_large_cap,fintsb_ts,raw,5,30,10.00,735,0.07272845,0.11231591,0.64753469,-0.32143528,0.22723738,-0.05448809,-3.29598404,0.04811791,0.53741497,0.32099773,0.13107487,2023:-0.2067;2024:0.1270;2025:0.3757,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top30_raw_daily.csv
hk_large_cap,fintsb_ts,industry_size_neutral,5,30,10.00,735,0.08711159,0.10574657,0.82377694,-0.29392457,0.27584974,-0.04242460,-3.70895232,0.06095238,0.53741497,0.24734694,-0.06207750,2023:-0.1871;2024:0.2021;2025:0.3101,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top30_industry_size_neutral_daily.csv
hk_large_cap,fintsb_ts,raw,5,20,10.00,735,0.00756588,0.12524156,0.06041031,-0.36963083,0.02222752,-0.11100728,-3.16619733,0.09129252,0.51428571,0.41013605,0.24624054,2023:-0.2465;2024:0.0532;2025:0.2843,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top20_raw_daily.csv
hk_large_cap,fintsb_ts,industry_size_neutral,5,20,10.00,735,0.06856215,0.11193610,0.61251145,-0.31438389,0.21338710,-0.05827083,-2.85017850,0.11952381,0.52789116,0.25952381,-0.05058976,2023:-0.1956;2024:0.1439;2025:0.3214,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top20_industry_size_neutral_daily.csv
hk_large_cap,fintsb_ts,raw,5,10,10.00,735,-0.07012550,0.14021026,-0.50014532,-0.45626759,-0.19108234,-0.17879725,-3.11956459,0.13401361,0.48979592,0.48816327,0.41390824,2023:-0.2729;2024:-0.1034;2025:0.2297,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top10_raw_daily.csv
hk_large_cap,fintsb_ts,industry_size_neutral,5,10,10.00,735,0.04470593,0.13106327,0.34110190,-0.36872087,0.13605496,-0.07777713,-1.86920982,0.17360544,0.51836735,0.33265306,0.14011898,2023:-0.2438;2024:0.0813;2025:0.3891,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top10_industry_size_neutral_daily.csv
hk_large_cap,fintsb_ts,raw,5,5,10.00,735,-0.11738807,0.15322544,-0.76611346,-0.52326419,-0.30524999,-0.22030488,-2.74127169,0.19496599,0.47755102,0.53741497,0.53021669,2023:-0.3402;2024:-0.1388;2025:0.2058,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top5_raw_daily.csv
hk_large_cap,fintsb_ts,industry_size_neutral,5,5,10.00,735,0.00685066,0.15037879,0.04555601,-0.44123328,0.02011254,-0.11008982,-1.61807933,0.21972789,0.50340136,0.42666667,0.21793761,2023:-0.1954;2024:-0.0400;2025:0.3179,experiments\lingxi_topk_comparison\hk_large_cap\fintsb_ts_h5_top5_industry_size_neutral_daily.csv
