candidate,candidate_label,market,topk,variant,linear_cost_bps,aum_multiplier,impact_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,2.00,0.00,831,0.97803192,1.30653058,-0.32849866,3.99082224,4.05642913,-0.06560689,-0.17899905,-0.25457365,0.07557460,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,2.00,5.00,831,0.95426169,1.29038272,-0.33612103,3.92150007,4.02355109,-0.10205102,-0.18148648,-0.25773634,0.07624986,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,2.00,10.00,831,0.93077373,1.27434658,-0.34357285,3.85203103,3.99063093,-0.13859990,-0.18396657,-0.26088583,0.07691926,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,2.00,20.00,831,0.88463142,1.24260638,-0.35797496,3.71268455,3.92466764,-0.21198309,-0.18976999,-0.26714545,0.07737546,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,5.00,0.00,831,0.97803192,1.30653058,-0.32849866,3.99082224,4.05642913,-0.06560689,-0.17899905,-0.25457365,0.07557460,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,5.00,5.00,831,0.94057778,1.28104995,-0.34047217,3.88114627,4.00442498,-0.12327870,-0.18292865,-0.25956823,0.07663959,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,5.00,10.00,831,0.90382452,1.25584749,-0.35202298,3.77111481,3.95231675,-0.18120194,-0.18683994,-0.26452991,0.07768997,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,5.00,20.00,831,0.83236897,1.20626511,-0.37389614,3.55011357,3.84780163,-0.29768805,-0.20100537,-0.27435539,0.07335002,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,10.00,0.00,831,0.97803192,1.30653058,-0.32849866,3.99082224,4.05642913,-0.06560689,-0.17899905,-0.25457365,0.07557460,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,10.00,5.00,831,0.92526980,1.27057718,-0.34530738,3.83561105,3.98285348,-0.14724242,-0.18455097,-0.26162741,0.07707643,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,10.00,10.00,831,0.87389866,1.23517762,-0.36127897,3.67971535,3.90907248,-0.22935713,-0.19206444,-0.26861553,0.07655109,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,10.00,20.00,831,0.77518526,1.16600646,-0.39082121,3.36623480,3.76093292,-0.39469812,-0.21348447,-0.28239726,0.06891279,False,False,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,0.50,0.00,863,0.47100892,0.49517317,-0.02416425,4.75944504,5.00834406,-0.24889902,-0.12138286,-0.11600676,-0.00537610,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,0.50,5.00,863,0.46517119,0.48893344,-0.02376225,4.71116768,4.95730516,-0.24613748,-0.12253694,-0.11733378,-0.00520315,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,0.50,10.00,863,0.45935645,0.48271954,-0.02336309,4.66283713,4.90620290,-0.24336578,-0.12368954,-0.11865887,-0.00503067,False,False,False
