date,symbol,score,label
2025-11-20,sh600085,0.0027625222,-0.0247668998
2025-11-21,sh600085,0.0006546550,-0.0059435364
2025-11-24,sh600085,0.0003315306,0.0059612519
2025-11-25,sh600085,-0.0001544967,-0.0032592593
2025-11-26,sh600085,-0.0004117543,0.0002981515
2025-11-27,sh600085,-0.0018835029,-0.0065730505
2025-11-28,sh600085,-0.0023547836,-0.0008968610
2025-12-01,sh600085,-0.0026551471,-0.0157037037
2025-12-02,sh600085,-0.0033983344,-0.0187277051
2025-12-03,sh600085,-0.0034671851,-0.0181818182
2025-12-04,sh600085,-0.0038547828,-0.0147368421
2025-12-05,sh600085,-0.0037197654,-0.0305206463
2025-12-08,sh600085,-0.0048215295,-0.0015051174
2025-12-09,sh600085,-0.0054678253,-0.0051499546
2025-12-10,sh600085,-0.0071376772,-0.0112325440
2025-12-11,sh600085,-0.0088880287,-0.0131257631
2025-12-12,sh600085,-0.0099097307,0.0006172840
2025-12-15,sh600085,-0.0103785292,-0.0298462466
2025-12-16,sh600085,-0.0099341472,-0.0347137637
2025-12-17,sh600085,-0.0089190414,-0.0245624808
2025-12-18,sh600085,-0.0100615354,-0.0148468914
2025-12-19,sh600085,-0.0092640089,-0.0052436767
2025-12-22,sh600085,-0.0092728033,0.0087010566
2025-12-23,sh600085,-0.0117551318,0.0195583596
2025-12-24,sh600085,-0.0124530249,0.0154233554
2025-12-25,sh600085,-0.0109733021,0.0138147567
2025-12-26,sh600085,-0.0110454970,0.0049612403
2025-12-29,sh600085,-0.0109986911,-0.0064695009
2025-12-30,sh600085,-0.0100960432,-0.0064975248
2025-12-31,sh600085,-0.0106969970,0.0055796652
2025-01-02,sh600089,0.0056932576,-0.0218446133
2025-01-03,sh600089,0.0006254712,-0.0212592632
2025-01-06,sh600089,-0.0016370280,-0.0236927869
2025-01-07,sh600089,-0.0040485383,0.0024469767
2025-01-08,sh600089,-0.0076866301,0.0115321287
2025-01-09,sh600089,-0.0091339519,0.0165425890
2025-01-10,sh600089,-0.0099477437,0.0233918198
2025-01-13,sh600089,-0.0091602916,0.0117154840
2025-01-14,sh600089,-0.0086937224,-0.0252237594
2025-01-15,sh600089,-0.0069074458,-0.0285015956
2025-01-16,sh600089,-0.0065464908,-0.0292921264
2025-01-17,sh600089,-0.0065821942,-0.0171428205
2025-01-20,sh600089,-0.0061269624,-0.0107527208
2025-01-21,sh600089,-0.0053273612,0.0008346943
2025-01-22,sh600089,-0.0059536571,0.0100586538
2025-01-23,sh600089,-0.0060664400,0.0402347008
2025-01-24,sh600089,-0.0045596707,0.0249169741
2025-01-27,sh600089,-0.0039744323,0.0209030217
2025-02-05,sh600089,-0.0050275382,0.0241867986
2025-02-06,sh600089,-0.0049015074,0.0116182606
2025-02-07,sh600089,-0.0035298005,-0.0128928553
2025-02-10,sh600089,-0.0025784222,0.0024311130
2025-02-11,sh600089,-0.0005070683,0.0098279885
2025-02-12,sh600089,0.0005033724,0.0032573774
2025-02-13,sh600089,0.0018340638,0.0008203986
2025-02-14,sh600089,0.0036120613,-0.0032652714
2025-02-17,sh600089,0.0010258425,-0.0210186571
2025-02-18,sh600089,-0.0000639454,-0.0259529320
2025-02-19,sh600089,0.0009559849,-0.0024350596
2025-02-20,sh600089,0.0010558772,-0.0016393685
2025-02-21,sh600089,0.0003871735,-0.0114660144
2025-02-24,sh600089,0.0017081677,0.0033031045
2025-02-25,sh600089,0.0026510487,0.0074937389
2025-02-26,sh600089,0.0010434280,-0.0097640975
2025-02-27,sh600089,0.0007851720,0.0139573046
2025-02-28,sh600089,0.0017053012,0.0132560342
2025-03-03,sh600089,0.0014309067,0.0049382608
2025-03-04,sh600089,0.0000908643,0.0132231681
2025-03-05,sh600089,0.0017378507,0.0172555936
2025-03-06,sh600089,0.0010207862,0.0202429260
2025-03-07,sh600089,0.0006467845,0.0318887280
